Summary,Description,Issue Type,Priority,Component/s,Status
hidden scrollbar history tab,greetings dont know exactly done specially normal uncomfortableat right bottom part sourcetree window panel showing addeddeleted strings code sometimes strings long see panel need horizontal scrollbar problem hidden vertical scrollbar moved end fullscreen scaled window mode horizontal scrollbar hiddenimagepng horizontal scrollbar appears scrolling endimagepng hope agree itll fixed soon,bug,Low,Git,Closed
custom actions broken beta,custom actions completely broken latest betafollowing one example many custom actions longer function custom actions always bit screwy seen fact need use batch file bashruncmdbat work around oddities way parameters passedthis particular script opens command prompt window beta works fine sourcetree windows reflog script run cgittoolsbashruncmdbat parameters cgittoolsgitmergeabortsh repobashruncmdbat set mypathdp start cprogram filesgitgitbashexe gitmergeabortsh binbash git merge abortand way cant guys get jira system figured affects versions field contains list versions doesnt even include latest released versions version forced put inaccurate custom actions displaying executions nothing happens click custom action multiple parameters set parameter field sha file used right click one file one commit choose custom action custom action made earlier single parameter displayed,bug,Low,General,Closed
cant use sha file custom actions,cant use sha file custom actionswhen sha file specified like attached image nothing displayed custom action context menu main screen source tree one specified operate normally source tree ver windows version imagepng,bug,Low,General,Needs Triage
remote repositories list empty bitbucket private server,using private bitbucket server updating sourcetree windows client results remote repositories private server longer listed empty screen rolling back restores list viewing capability,bug,Low,Bitbucket,Long Term Backlog
external diff working anymore,im using versioncolorff color version selectable affects versions boxexternal diff anything anymoremy global gitconfig contain diff difftool sectionsin preferences systemdefault anything select winmerge always used also nothing works triple checked location winmerge executable,bug,Low,General,Closed
push select baranches,branches select version,bug,Low,General,Closed
push error,git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags origin mastermasterremote forbiddenfatal unable access requested url returned error pushing errors see,bug,Low,branch,Closed
sourcetree register local file changes,add modify files locally source tree seem register changes file status tab says nothing commit thoughts,bug,Low,Bitbucket,Closed
misleading popup dialog amending commit,imagepng trying amend commit commit options dialog appearsquotereplace commit textdo want replace commit text message previous commityes noquotethis misleading dialog actually choose replace new commit message cancels amend command creates new commit instead wrong want amend previous commit dont want new commit message replaced old one,bug,Low,UX,Closed
able connect bitbucket server source tree client,hi atlassian support trouble connecting enterprise bitbucket server source tree client fails registration section prompts enter root url username triage deleted windows credentials local system tried protocols ssh luck versions tool used source tree enterprise bitbucket server atlassian bitbucket vwindows supporting browser google chrome,bug,Low,Bitbucket,Long Term Backlog
